index,mapped_rxn
3906,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH2:9].[CH3:22][CH2:23][CH2:24][c:25]1[n:26][c:27]([C:28](=[O:29])[O:30][CH3:31])[cH:32][s:45]1.[cH:10]1[s:11][c:12]([CH2:13][CH2:14][CH3:15])[n:16][c:17]1[C:18](=[O:19])[O:20][CH3:21].[cH:33]1[s:34][c:35]([CH2:36][CH2:37][CH3:38])[n:39][c:40]1[C:41](=[O:42])[O:43][CH3:44]>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH:8]=[CH:9][c:10]1[s:11][c:12]([CH2:13][CH2:14][CH3:15])[n:16][c:17]1[C:18](=[O:19])[O:20][CH3:21].[CH3:22][CH2:23][CH2:24][c:25]1[n:26][c:27]([C:28](=[O:29])[O:30][CH3:31])[c:32](-[c:33]2[s:34][c:35]([CH2:36][CH2:37][CH3:38])[n:39][c:40]2[C:41](=[O:42])[O:43][CH3:44])[s:45]1
3907,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])=[CH2:8].[CH3:24][O:25][C:26](=[O:27])[c:28]1[n:29][c:30](-[c:31]2[cH:32][cH:33][cH:34][cH:35][cH:36]2)[s:37][cH:38]1.[cH:9]1[s:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[n:18][c:19]1[C:20](=[O:21])[O:22][CH3:23].[cH:39]1[s:40][c:41](-[c:42]2[cH:43][cH:44][cH:45][cH:46][cH:47]2)[n:48][c:49]1[C:50](=[O:51])[O:52][CH3:53]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])=[CH:8][c:9]1[s:10][c:11](-[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[n:18][c:19]1[C:20](=[O:21])[O:22][CH3:23].[CH3:24][O:25][C:26](=[O:27])[c:28]1[n:29][c:30](-[c:31]2[cH:32][cH:33][cH:34][cH:35][cH:36]2)[s:37][c:38]1-[c:39]1[s:40][c:41](-[c:42]2[cH:43][cH:44][cH:45][cH:46][cH:47]2)[n:48][c:49]1[C:50](=[O:51])[O:52][CH3:53]
3908,[CH2:30]=[CH:31][c:32]1[cH:33][cH:34][c:35]([Br:36])[cH:37][cH:38]1.N#[N+][c:29]1[cH:28][cH:27][c:26]([C:23]([C:20]([C:17]([C:14]([C:11]([C:8]([C:5]([C:2]([F:1])([F:3])[F:4])([F:6])[F:7])([F:9])[F:10])([F:12])[F:13])([F:15])[F:16])([F:18])[F:19])([F:21])[F:22])([F:24])[F:25])[cH:40][cH:39]1.O=C([O-])C(F)(F)F>>[F:1][C:2]([F:3])([F:4])[C:5]([F:6])([F:7])[C:8]([F:9])([F:10])[C:11]([F:12])([F:13])[C:14]([F:15])([F:16])[C:17]([F:18])([F:19])[C:20]([F:21])([F:22])[C:23]([F:24])([F:25])[c:26]1[cH:27][cH:28][c:29](/[CH:30]=[CH:31]/[c:32]2[cH:33][cH:34][c:35]([Br:36])[cH:37][cH:38]2)[cH:39][cH:40]1
3909,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH:8]=[CH2:9].N#[N+][c:10]1[cH:11][cH:12][c:13]([C:14]([F:15])([F:16])[C:17]([F:18])([F:19])[C:20]([F:21])([F:22])[C:23]([F:24])([F:25])[C:26]([F:27])([F:28])[C:29]([F:30])([F:31])[C:32]([F:33])([F:34])[C:35]([F:36])([F:37])[F:38])[cH:39][cH:40]1.O=C([O-])C(F)(F)F>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])/[CH:8]=[CH:9]/[c:10]1[cH:11][cH:12][c:13]([C:14]([F:15])([F:16])[C:17]([F:18])([F:19])[C:20]([F:21])([F:22])[C:23]([F:24])([F:25])[C:26]([F:27])([F:28])[C:29]([F:30])([F:31])[C:32]([F:33])([F:34])[C:35]([F:36])([F:37])[F:38])[cH:39][cH:40]1
3910,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].N#[N+][c:8]1[cH:9][cH:10][c:11]([C:12]([F:13])([F:14])[C:15]([F:16])([F:17])[C:18]([F:19])([F:20])[C:21]([F:22])([F:23])[C:24]([F:25])([F:26])[C:27]([F:28])([F:29])[C:30]([F:31])([F:32])[C:33]([F:34])([F:35])[F:36])[cH:37][cH:38]1.O=C([O-])C(F)(F)F>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][c:11]([C:12]([F:13])([F:14])[C:15]([F:16])([F:17])[C:18]([F:19])([F:20])[C:21]([F:22])([F:23])[C:24]([F:25])([F:26])[C:27]([F:28])([F:29])[C:30]([F:31])([F:32])[C:33]([F:34])([F:35])[F:36])[cH:37][cH:38]1
3911,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]
3912,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]
3913,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]
3914,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]
3915,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]
3916,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]
3917,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]
3918,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].[cH:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][cH:10][cH:11][cH:12][c:13]1[NH:14][C:15]([CH3:16])=[O:17]
3919,[CH3:1][CH:2]([CH3:3])[O:4][C:5](=[O:6])[CH:7]=[CH2:8].I[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1.I[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1>>[CH3:1][CH:2]([CH3:3])[O:4][C:5](=[O:6])[CH:7]=[C:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1
3920,[O:1]=[C:2]([CH:3]=[CH2:4])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1.I[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.I[c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[C:2]([CH:3]=[C:4]([c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1)[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1
3921,I[c:5]1[cH:4][cH:10][c:11]([Br:12])[cH:13][cH:22]1.I[c:15]1[cH:16][cH:17][c:18]([Br:19])[cH:20][cH:21]1.[Br:1][c:2]1[cH:3][cH:9][c:8]([CH:7]=[CH2:6])[cH:14][cH:23]1>>[Br:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[C:7]([c:8]2[cH:9][cH:10][c:11]([Br:12])[cH:13][cH:14]2)[c:15]2[cH:16][cH:17][c:18]([Br:19])[cH:20][cH:21]2)[cH:22][cH:23]1
3922,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].I[c:8]1[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]1.I[c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([c:8]1[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]1)[c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]1
3923,I[c:8]1[cH:9][cH:10][cH:11][c:12]([Br:13])[cH:14]1.I[c:15]1[cH:16][cH:17][cH:18][c:19]([Br:20])[cH:21]1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([c:8]1[cH:9][cH:10][cH:11][c:12]([Br:13])[cH:14]1)[c:15]1[cH:16][cH:17][cH:18][c:19]([Br:20])[cH:21]1
3924,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].I[c:8]1[cH:9][cH:10][c:11]([C:12]([CH3:13])=[O:14])[cH:15][cH:16]1.I[c:17]1[cH:18][cH:19][c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([c:8]1[cH:9][cH:10][c:11]([C:12]([CH3:13])=[O:14])[cH:15][cH:16]1)[c:17]1[cH:18][cH:19][c:20]([C:21]([CH3:22])=[O:23])[cH:24][cH:25]1
3925,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].I[c:15]1[cH:16][cH:17][cH:18][c:19]([CH3:20])[cH:21]1.I[c:8]1[cH:9][cH:10][cH:11][c:12]([CH3:13])[cH:14]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([c:8]1[cH:9][cH:10][cH:11][c:12]([CH3:13])[cH:14]1)[c:15]1[cH:16][cH:17][cH:18][c:19]([CH3:20])[cH:21]1
3926,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].I[c:8]1[cH:9][cH:10][cH:11][c:12]([Cl:13])[cH:14]1.I[c:15]1[cH:16][cH:17][cH:18][c:19]([Cl:20])[cH:21]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([c:8]1[cH:9][cH:10][cH:11][c:12]([Cl:13])[cH:14]1)[c:15]1[cH:16][cH:17][cH:18][c:19]([Cl:20])[cH:21]1
3927,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].I[c:15]1[cH:16][cH:17][cH:18][c:19]([F:20])[cH:21]1.I[c:8]1[cH:9][cH:10][cH:11][c:12]([F:13])[cH:14]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([c:8]1[cH:9][cH:10][cH:11][c:12]([F:13])[cH:14]1)[c:15]1[cH:16][cH:17][cH:18][c:19]([F:20])[cH:21]1
3928,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[CH2:7].I[c:8]1[cH:9][cH:10][c:11]([C:12](=[O:13])[O:14][CH3:15])[cH:16][cH:17]1.I[c:18]1[cH:19][cH:20][c:21]([C:22](=[O:23])[O:24][CH3:25])[cH:26][cH:27]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[C:7]([c:8]1[cH:9][cH:10][c:11]([C:12](=[O:13])[O:14][CH3:15])[cH:16][cH:17]1)[c:18]1[cH:19][cH:20][c:21]([C:22](=[O:23])[O:24][CH3:25])[cH:26][cH:27]1
3929,CS(=O)(=O)[N:10]([CH2:9][C:8]1=[C:7](Br)[C:20](=[O:21])[c:19]2[c:14]([cH:15][cH:16][cH:17][cH:18]2)[C:12]1=[O:13])[c:11]1[c:2]([CH3:1])[cH:3][cH:4][cH:5][cH:6]1>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]3[c:8]([cH:9][n:10][c:11]12)[C:12](=[O:13])[c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1[C:20]3=[O:21]
3930,CS(=O)(=O)[N:11]([CH2:10][C:9]1=[C:8](Br)[C:21](=[O:22])[c:20]2[c:15]([cH:16][cH:17][cH:18][cH:19]2)[C:13]1=[O:14])[c:12]1[c:3]([O:2][CH3:1])[cH:4][cH:5][cH:6][cH:7]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]2[c:8]3[c:9]([cH:10][n:11][c:12]12)[C:13](=[O:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1[C:21]3=[O:22]
3931,[CH2:14]=[CH:15][CH2:16][C:17]#[N:18].O=S(=O)(O[C:13]1=[CH:19][CH2:20][CH2:21][C@:22]2([CH3:23])[C@@H:9]([C@@H:7]([CH2:6][CH2:5][CH2:4][CH:2]([CH3:1])[CH3:3])[CH3:8])[CH2:10][CH2:11][C@@H:12]12)C(F)(F)F>>[CH3:1][CH:2]([CH3:3])[CH2:4][CH2:5][CH2:6][C@@H:7]([CH3:8])[C@H:9]1[CH2:10][CH2:11][C@H:12]2[C:13](/[CH:14]=[CH:15]/[CH2:16][C:17]#[N:18])=[CH:19][CH2:20][CH2:21][C@:22]12[CH3:23]
3932,[O:1]=[C:2]1[CH:3]=[CH:4][CH2:11][CH2:12][O:13]1.OB(O)[c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[C:2]1[CH:3]=[C:4]([c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[CH2:11][CH2:12][O:13]1
3933,[CH2:6]=[CH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.I[c:5]1[cH:4][cH:3][c:2]([CH3:1])[c:15]([CH3:16])[cH:14]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][c:15]1[CH3:16]
3934,[CH2:6]=[CH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.I[c:5]1[cH:4][cH:3][c:2]([CH3:1])[c:15]([CH3:16])[cH:14]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][c:15]1[CH3:16]
3935,[CH2:6]=[CH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.I[c:5]1[cH:4][cH:3][c:2]([CH3:1])[c:15]([CH3:16])[cH:14]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][c:15]1[CH3:16]
3936,[CH2:6]=[CH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.I[c:5]1[cH:4][cH:3][c:2]([CH3:1])[c:15]([CH3:16])[cH:14]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][c:15]1[CH3:16]
3937,[CH2:6]=[CH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.I[c:5]1[cH:4][cH:3][c:2]([CH3:1])[c:15]([CH3:16])[cH:14]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][c:15]1[CH3:16]
3938,[CH2:6]=[CH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.I[c:5]1[cH:4][cH:3][c:2]([CH3:1])[c:15]([CH3:16])[cH:14]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][c:15]1[CH3:16]
3939,[CH2:6]=[CH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1.I[c:5]1[cH:4][cH:3][c:2]([CH3:1])[c:15]([CH3:16])[cH:14]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][c:15]1[CH3:16]
3940,Br[c:14]1[cH:15][n:16][cH:17][n:18][cH:19]1.[CH3:1][CH2:2][C@H:3]1[O:4][C:5](=[O:6])[C@H:7]([CH3:8])[C@@H:9]([O:10][CH2:11][CH:12]=[CH2:13])[C@H:20]([CH3:21])[C@@H:22]([O:23][C@@H:24]2[O:25][C@H:26]([CH3:27])[CH2:28][C@H:29]([N:30]([CH3:31])[CH3:32])[C@H:33]2[O:34][C:35]([CH3:36])=[O:37])[C@:38]([CH3:39])([O:40][CH3:41])[CH2:42][C@@H:43]([CH3:44])/[C:45](=[N:46]\[O:47][CH2:48][c:49]2[cH:50][cH:51][cH:52][cH:53][cH:54]2)[C@H:55]([CH3:56])[C@@H:57]([OH:58])[C@:59]1([CH3:60])[OH:61]>>[CH3:1][CH2:2][C@H:3]1[O:4][C:5](=[O:6])[C@H:7]([CH3:8])[C@@H:9]([O:10]/[CH:11]=[CH:12]\[CH2:13][c:14]2[cH:15][n:16][cH:17][n:18][cH:19]2)[C@H:20]([CH3:21])[C@@H:22]([O:23][C@@H:24]2[O:25][C@H:26]([CH3:27])[CH2:28][C@H:29]([N:30]([CH3:31])[CH3:32])[C@H:33]2[O:34][C:35]([CH3:36])=[O:37])[C@:38]([CH3:39])([O:40][CH3:41])[CH2:42][C@@H:43]([CH3:44])/[C:45](=[N:46]\[O:47][CH2:48][c:49]2[cH:50][cH:51][cH:52][cH:53][cH:54]2)[C@H:55]([CH3:56])[C@@H:57]([OH:58])[C@:59]1([CH3:60])[OH:61]
3941,[CH3:1][CH2:2][Si:3]([CH2:4][CH3:78])([CH2:6][CH3:7])[C:8]#[C:9][CH2:10][CH2:11][N:12]1[CH2:13][C@@H:14]2[CH:15]=[CH:16][C@H:17]1[C@@H:18]([C:19](=[O:20])[O:21][CH3:22])[CH2:23]2.I[c:24]1[cH:25][cH:26][cH:27][cH:28][c:29]1[NH:30][S:31](=[O:32])([c:34]1[cH:35][cH:36][c:71]([CH3:72])[cH:70][cH:79]1)=[O:60]>>[CH3:1][CH2:2][Si:3]([CH2:4][CH3:5])([CH2:6][CH3:7])[c:8]1[c:9]([CH2:10][CH2:11][N:12]2[CH2:13][C@H:14]3[CH:15]=[CH:16][C@@H:17]2[C@H:18]([C:19](=[O:20])[O:21][CH3:22])[CH2:23]3)[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]2[n:30]1[S:31](=[O:32])(=[O:33])[c:34]1[cH:35][cH:36][c:37]([CH3:38])[cH:39][cH:40]1.[CH3:41][CH2:42][Si:43]([CH2:44][CH3:45])([CH2:46][CH3:47])[c:48]1[c:49]([CH2:50][CH2:51][N:52]2[CH2:53][C@H:54]3[CH:55]=[CH:56][C@@H:57]2[C@H:58]([C:59](=[O:60])[O:61][CH3:62])[CH2:63]3)[n:64]([S:65](=[O:66])(=[O:67])[c:68]2[cH:69][cH:70][c:71]([CH3:72])[cH:73][cH:74]2)[c:75]2[cH:76][cH:77][cH:78][cH:79][c:80]12
3942,[CH3:1][CH2:14][Si:13]([C:12]#[C:11][CH2:10][CH2:9][O:8][Si:3]([CH2:2][CH3:33])([CH2:16][CH3:17])[CH2:18][CH3:19])([CH2:37][CH3:38])[CH2:40][CH3:39].I[c:26]1[c:21]([NH2:20])[cH:22][cH:23][cH:24][cH:25]1>>[CH3:1][CH2:2][Si:3]([CH2:4][CH3:5])([CH2:6][CH3:7])[O:8][CH2:9][CH2:10][c:11]1[c:12]([Si:13]([CH2:14][CH3:15])([CH2:16][CH3:17])[CH2:18][CH3:19])[nH:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12.[CH3:27][CH2:28][Si:29]([CH2:30][CH3:31])([CH2:32][CH3:33])[c:34]1[nH:35][c:36]2[cH:37][cH:38][cH:39][cH:40][c:41]2[c:42]1[CH2:43][CH2:44][OH:45]
3943,[CH3:1][O:2][c:3]1[cH:4][cH:23][c:24]([CH:25]=[CH2:26])[cH:35][cH:36]1.Br[c:27]1[cH:28][cH:29][cH:30][cH:31][c:32]1[O:33][CH3:34]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](/[CH:7]=[CH:8]/[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[O:15][CH3:16])[cH:17][cH:18]1.[CH3:19][O:20][c:21]1[cH:22][cH:23][c:24](/[CH:25]=[CH:26]\[c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]2[O:33][CH3:34])[cH:35][cH:36]1
3944,[OH:2][c:41]1[c:24]([O:23][CH3:22])[cH:25][c:26]([CH:27]=[CH2:6])[cH:39][cH:40]1.I[c:29]1[cH:28][cH:1][c:32]([O:33][C:34]([CH3:35])=[O:36])[cH:31][cH:30]1>>[CH3:1][O:2][c:3]1[cH:4][c:5](/[CH:6]=[CH:7]/[c:8]2[cH:9][cH:10][c:11]([O:12][C:13]([CH3:14])=[O:15])[cH:16][cH:17]2)[cH:18][cH:19][c:20]1[OH:21].[CH3:22][O:23][c:24]1[cH:25][c:26](/[CH:27]=[CH:28]\[c:29]2[cH:30][cH:31][c:32]([O:33][C:34]([CH3:35])=[O:36])[cH:37][cH:38]2)[cH:39][cH:40][c:41]1[OH:42]
3945,[OH:1][C@@H:2]([c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12)[C@H:13]1[CH2:14][C@@H:15]2[CH2:16][CH2:17][N:18]1[CH2:19][C@@H:20]2[CH:21]=[CH2:22].Br[c:23]1[cH:24][cH:25][cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32]1>>[OH:1][C@@H:2]([c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12)[C@H:13]1[CH2:14][C@@H:15]2[CH2:16][CH2:17][N:18]1[CH2:19][C@@H:20]2[CH:21]=[CH:22][c:23]1[cH:24][cH:25][cH:26][c:27]([C:28]([F:29])([F:30])[F:31])[cH:32]1
3946,Br[c:23]1[cH:24][cH:25][c:26](-[c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[cH:33][cH:34]1.[OH:1][C@@H:2]([c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12)[C@H:13]1[CH2:14][C@@H:15]2[CH2:16][CH2:17][N:18]1[CH2:19][C@@H:20]2[CH:21]=[CH2:22]>>[OH:1][C@@H:2]([c:3]1[cH:4][cH:5][n:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12)[C@H:13]1[CH2:14][C@@H:15]2[CH2:16][CH2:17][N:18]1[CH2:19][C@@H:20]2[CH:21]=[CH:22][c:23]1[cH:24][cH:25][c:26](-[c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[cH:33][cH:34]1
3947,[CH3:1][O:2][C:3](=[O:4])[CH:5]=[CH2:6].Br[c:7]1[c:8]([O:9][CH3:10])[cH:11][cH:12][c:13]2[c:14]1[CH2:15][CH2:16][CH:17]=[C:18]2[c:19]1[cH:20][c:21]([O:22][CH3:23])[c:24]([O:25][CH3:26])[c:27]([O:28][CH3:29])[cH:30]1>>[CH3:1][O:2][C:3](=[O:4])/[CH:5]=[CH:6]/[c:7]1[c:8]([O:9][CH3:10])[cH:11][cH:12][c:13]2[c:14]1[CH2:15][CH2:16][CH:17]=[C:18]2[c:19]1[cH:20][c:21]([O:22][CH3:23])[c:24]([O:25][CH3:26])[c:27]([O:28][CH3:29])[cH:30]1
3948,[CH2:1]=[CH:2][O:3][CH2:4][CH3:5].I[c:6]1[cH:7][cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13]1>>[CH2:1]=[C:2]([O:3][CH2:4][CH3:5])[c:6]1[cH:7][cH:8][c:9]([O:10][CH3:11])[cH:12][cH:13]1
3949,Br[c:9]1[cH:10][cH:11][cH:12][c:13]2[c:14]1[N:5]([CH2:20][CH:21]=[CH2:6])[C:3](=[O:4])[C:2]2=[O:1]>>[O:1]=[C:2]1[C:3](=[O:4])[N:5]2[CH:6]=[CH:7][CH2:8][c:9]3[cH:10][cH:11][cH:12][c:13]1[c:14]32.[O:15]=[C:16]1[C:17](=[O:18])[N:19]2[CH2:20][CH:21]=[CH:22][c:23]3[cH:24][cH:25][cH:26][c:27]1[c:28]32
3950,[CH2:19]=[CH:20][C:21](=[O:22])[N:23]1[CH2:24][CH2:25][O:26][CH2:27][CH2:28]1.I/[CH:18]=[C:11](\[CH2:10][NH:9][S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:30][cH:29]1)(=[O:7])=[O:8])[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]2[CH2:10][C:11]([c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)=[CH:18][CH:19]2[CH2:20][C:21](=[O:22])[N:23]2[CH2:24][CH2:25][O:26][CH2:27][CH2:28]2)[cH:29][cH:30]1
3951,[CH2:19]=[CH:20][C:21](=[O:22])[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1.I/[CH:18]=[C:11](\[CH2:10][NH:9][S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:30][cH:29]1)(=[O:7])=[O:8])[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]2[CH2:10][C:11]([c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)=[CH:18][CH:19]2[CH2:20][C:21](=[O:22])[c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[cH:29][cH:30]1
